t,X,Y,yaw,vx,vyaw,P_yaw
0.74,-2.271026236191018e-05,-2.1332470694989798e-07,0.004394766462241211,0.0005870647583241655,0.006043534608437357,0.0003720589241020697
0.75,-1.8523836223977255e-05,-1.9483500423110029e-07,0.004418964517145039,-0.0017028548930447872,-0.0045375446445728015,0.00037707033116454866
0.76,-3.537937534030173e-05,-2.694493324899267e-07,0.004399927405143148,-0.0014678442253465932,-0.0005702420480649794,0.0003820978795832467
0.76,-3.537937522243106e-05,-2.694764140769365e-07,0.004405437343456884,-0.0014678442253465932,0.00025971144141236123,0.00038208814575474827
0.77,-4.8595174533625574e-05,-3.27682362246668e-07,0.004406159742163126,0.0005206843092551011,-0.0002876946928690304,0.00038709955281722723
0.78,-4.7038935927648e-05,-3.207456217428401e-07,0.004283661304447314,-0.004442889823851987,-0.018306094907577047,0.0003921271012359253
0.78,-4.7038935569484086e-05,-3.2082769060055433e-07,0.004406877851966379,-0.004442889823851987,0.0002538231444737249,0.00039211736740742684
0.79,-9.105902539002556e-05,-5.146422676366669e-07,0.004399531220490418,-0.003887627898982386,-0.002632499606527033,0.0003971287744699058
0.8,-0.00012541195317880173,-6.658255251310233e-07,0.004376498626708702,0.0022621571340248016,-0.0021365701408219643,0.00040215632288860385
0.8,-0.00012541195013188934,-6.665177402245617e-07,0.004424212985311703,0.0022621571340248016,0.005050569926065902,0.0004021465890601054
0.81,-0.00010493194768591302,-5.758638693764329e-07,0.004487642135365324,-0.0006493839873095821,0.008824142745882953,0.0004071579961225844
0.8200000000000001,-0.00011424521977398688,-6.176026979038683e-07,0.0045235058029970765,-0.004482991364901645,0.0009345617625322357,0.0004121855445412824
0.8200000000000001,-0.00011424521969629623,-6.176199217834047e-07,0.004544239540596283,-0.004482991364901645,0.004057652601402326,0.000412175810712784
0.8300000000000001,-0.000156484027984303,-8.09676315972121e-07,0.004590358386031974,-0.0009605526051064397,0.005675977788954804,0.00041718721777526295
0.84,-0.00016580466248704767,-8.530599998262876e-07,0.004731273956471362,-0.000573333079270023,0.018352234710443095,0.00042221476619396094
0.84,-0.00016580466468029138,-8.525790033690087e-07,0.004663508755563582,-0.000573333079270023,0.00814486726708449,0.0004222050323654625
0.85,-0.00016842461397613005,-8.648054949492851e-07,0.004743377054424211,0.0036597805705467635,0.007683407263025017,0.0004272164394279415
0.86,-0.00013554981644863773,-7.088425375665924e-07,0.004820524927825878,-0.0014017562495149817,0.007730674588067342,0.0004322439878466395
0.86,-0.0001355498137163564,-7.09415855204142e-07,0.004749129383456327,-0.0014017562495149817,-0.0030235258781922585,0.0004322342540181411
0.87,-0.00014958721111090414,-7.760689118211328e-07,0.004713517213835823,-0.0014289402022418874,-0.004593552717006732,0.00043724566108062005
0.88,-0.00016321733380363171,-8.401498364246914e-07,0.004629084588046344,-0.000532746706327296,-0.010392311163046036,0.0004422732094993181
0.88,-0.0001632173328660563,-8.40348666128546e-07,0.004675816485173722,-0.000532746706327296,-0.003353157749282345,0.00044226347567081966
0.89,-0.00016621185686720134,-8.543553005207092e-07,0.0046451867107586645,0.0026392272249251276,-0.0025058480486346672,0.0004472748827332986
0.9,-0.00013977596962966483,-7.31641933369038e-07,0.00460497445242017,0.002698916198833258,-0.004788438177783709,0.00045230243115199667
0.9,-0.00013977597100683909,-7.313449398231342e-07,0.004656558923695378,0.002698916198833258,0.002981650977474196,0.00045229269732349823
0.91,-0.00011349341225629564,-6.08834943250633e-07,0.00469574243641384,0.0017385614985118765,0.005716761613003477,0.0004573041043859772
0.92,-9.792626367240002e-05,-5.356353767995696e-07,0.004765106904180396,-0.0007337076343442506,0.007553954517891825,0.00046233165280467524
0.92,-9.792626311048564e-05,-5.35755508405967e-07,0.004749642470369377,-0.0007337076343442506,0.005224570761952237,0.0004623219189761768
0.93,-0.0001031699981885296,-5.606678968065889e-07,0.004812271045667436,0.0021124524571258206,0.008256308019374305,0.00046733332603865577
0.94,-8.692089443838673e-05,-4.821241502524918e-07,0.004954808507692248,-0.004516223155170889,0.017290156430317845,0.00047236087445735376
0.94,-8.692089221961957e-05,-4.825862686627748e-07,0.004869748045321191,-0.004516223155170889,0.0044776304923379185,0.0004723511406288553
0.95,-0.00013041430534658954,-6.949087537044e-07,0.004946807633559004,-0.002247895624062688,0.01390416233754339,0.0004773625476913343
0.96,-0.00015232554277880793,-8.039499183689679e-07,0.005151957581310593,-0.0014763577187700888,0.02386195703058143,0.00048239009611003233
0.96,-0.00015232554776444923,-8.029363401819042e-07,0.0050483017453497835,-0.0014763577187700888,0.008248438718426523,0.0004823803622815339
0.97,-0.00016995536902009804,-8.918852230937531e-07,0.005127568798813295,-0.005373791412637535,0.007308995896581289,0.00048739176934401286
0.98,-0.0002230422617111535,-1.1623072111792776e-06,0.005090154749080971,-0.0044895575480979255,-0.009336052087279558,0.0004924193177627109
0.98,-0.0002230422546682942,-1.163686151507289e-06,0.00517523940903025,-0.0044895575480979255,0.0034801186944968376,0.0004924095839342125
0.99,-0.0002634883576079533,-1.3739129687338197e-06,0.005246560013658873,0.0015594868466782714,0.014143577253230578,0.0004974209909966915
1.0,-0.00024922358233522146,-1.2990605286133505e-06,0.005386246114290848,-0.0002487258379756088,0.013880026879989734,0.0005024485394153896
1.0,-0.00024922358238128325,-1.299051313921416e-06,0.00538213431116771,-0.0002487258379756088,0.013260672332664787,0.0005024388055868912
1.01,-0.0002524341424684947,-1.316214106258823e-06,0.005456400015238101,-0.001232235458379455,-0.0037745675636119327,0.0005074502126493702
1.02,-0.0002662152107575384,-1.39137370660972e-06,0.005410990351341359,-0.003215874496789626,-0.004928982266288351,0.0005124777610680683
1.02,-0.00026621520968641725,-1.3915712407024857e-06,0.005465486575469861,-0.003215874496789626,0.0032796997195033237,0.0005124680272395698
1.03,-0.0002929217785466646,-1.5375147088342494e-06,0.005496328101690705,0.004196710364028324,0.002708713514939571,0.0005174794343020489
1.04,-0.00025644168679632255,-1.3368340053328673e-06,0.0055460878077264655,-0.0032630311319156325,0.006123847814292802,0.000522506982720747
1.04,-0.0002564416874391039,-1.3367174440768935e-06,0.0055625893316319204,-0.0032630311319156325,0.008609446847748975,0.0005224972488922485
1.05,-0.00028838029023710223,-1.5142667258338084e-06,0.0056372024202420296,-0.0023232110178299675,0.005256950390290668,0.0005275086559547276
1.06,-0.00030905008814828625,-1.6315757617352503e-06,0.005780525556739596,0.0011602199111534518,0.018927029757042788,0.0005325362043734256
1.06,-0.0003090500925954297,-1.6307842510641698e-06,0.005687721519341309,0.0011602199111534518,0.004948101084778745,0.0005325264705449272
1.07,-0.0003012266113115007,-1.5862900321130518e-06,0.00572209267736381,-0.003977394295109464,0.0005361115282440116,0.0005375378776074063
1.08,-0.0003381843547520129,-1.7970681142422189e-06,0.005655536474774887,-0.00014912669997206064,-0.010296682873897896,0.0005425654260261043
1.08,-0.00033818434844221865,-1.7981717776025422e-06,0.005767770492545747,-0.00014912669997206064,0.006608953701881578,0.0005425556921976059
1.09,-0.0003428360734135878,-1.8251090353899314e-06,0.005859826547696027,-0.004446393358902428,0.014191026680372804,0.000547567099260085
1.1,-0.0003824777899026191,-2.057047110055836e-06,0.005970553276593625,0.0021092786146453,0.009493898577337418,0.000552594647678783
1.1,-0.0003824777900943593,-2.0570143190508685e-06,0.005967929057246383,0.0021092786146453,0.00909861647427516,0.0005525849138502846
1.11,-0.000361250489594445,-1.9303404992243532e-06,0.006056102534917444,0.002292686821010205,0.008277328131523497,0.0005575963209127636
1.12,-0.00033921226296488303,-1.7965446511320155e-06,0.006186855358706369,0.00108498515461086,0.015504412434861711,0.0005626238693314617
1.12,-0.00033921226239940806,-1.7966378480967387e-06,0.00617299442794108,0.00108498515461086,0.013416561863581134,0.0005626141355029633
1.13,-0.0003317907784433989,-1.7506828594205362e-06,0.006323222304912948,-0.0035762490642202533,0.018106648315942768,0.0005676255425654422
1.14,-0.0003638940490177462,-1.9535796762538746e-06,0.006484958480439887,0.0013981886271697396,0.015194953963165985,0.0005726530909841403
1.14,-0.00036389404989373885,-1.9534421533697105e-06,0.006466207848521671,0.0013981886271697396,0.01237057526701385,0.0005726433571556418
1.15,-0.00035256778502391363,-1.8801887535970345e-06,0.006584788487415481,-0.0022122418574906963,0.010874071712764988,0.0005776547642181209
1.16,-0.0003725384623660793,-2.011564428602445e-06,0.00666374436299314,0.0007128154934304197,0.006387627079379909,0.0005826823126368189
1.16,-0.0003725384616057928,-2.0116798590531043e-06,0.00668698462281843,0.0007128154934304197,0.009888271485919491,0.0005826725788083205
1.17,-0.0003656203290621475,-1.9654214581629433e-06,0.006779685101389794,0.00042746590383692634,0.008083094277820353,0.0005876839858707996
1.18,-0.00035772829064363863,-1.91204035993645e-06,0.006783906929578331,0.0053461315300608655,-0.0034564182101785544,0.0005927115342894976
1.18,-0.0003577282910591883,-1.9119792768128965e-06,0.006830519522237785,0.0053461315300608655,0.0035647645560341022,0.0005927018004609992
1.19,-0.00030678318638623943,-1.5636881214723223e-06,0.006879632180686752,0.0019265495112297942,0.007496470372771215,0.0005977132075234783
1.2,-0.00028984597437823316,-1.4466026116813674e-06,0.007007353676101706,-0.0012385827644951653,0.015443144339210756,0.0006027407559421763
1.2,-0.00028984597148557504,-1.4470246950359262e-06,0.006967115096714767,-0.0012385827644951653,0.009382069337600557,0.0006027310221136779
1.21,-0.0003009019743134735,-1.5240556292790832e-06,0.007051608888249578,0.0005691671817435228,0.006658667991870236,0.0006077424291761569
1.22,-0.00029686829870274195,-1.4956742448518965e-06,0.007059978718098992,-0.001685014648386649,-0.002110446127053825,0.000612769977594855
1.22,-0.0002968682994866114,-1.4955617500047138e-06,0.00714933448411048,-0.001685014648386649,0.011349074757467183,0.0006127602437663566
1.23,-0.0003094927518107465,-1.5856673487625031e-06,0.0072334953478644425,0.004060071967433762,0.0027849184676860417,0.0006177716508288356
1.24,-0.0002699374917752102,-1.2999106125560022e-06,0.007218295110684108,0.002640001635027013,-0.003699549389474732,0.0006227991992475337
1.24,-0.00026993749330706733,-1.2996992111170822e-06,0.007242399407784033,0.002640001635027013,-6.875638411424226e-05,0.0006227894654190352
1.25,-0.0002441629268548395,-1.1130616047882866e-06,0.007239145726020075,0.0017905187467673895,-0.0008180479627426968,0.0006278008724815143
1.26,-0.00021958658473004574,-9.348702957338482e-07,0.007264773889713482,0.010861925244144715,0.0042744957103269645,0.0006328284209002124
1.26,-0.00021958658368267922,-9.350149375508709e-07,0.007247020735201718,0.010861925244144715,0.001600365493744199,0.0006328186870717139
1.27,-0.00012209712405165493,-2.2804985413475615e-07,0.007272440222647766,-0.004267367042214117,0.004349734079553953,0.000637830094134193
1.28,-0.00016231424233858127,-5.204990774119461e-07,0.007352861132780302,-0.0009287275180085925,0.009911474242561077,0.000642857642552891
1.28,-0.000162314242246548,-5.205122908788331e-07,0.007339633885276663,-0.0009287275180085925,0.007919074401267436,0.0006428479087243926
1.29,-0.00017065965333567281,-5.818556468017219e-07,0.0074446916017389154,0.0003515845468712198,0.015472080616901748,0.0006478593157868717
1.3,-0.0001680127977728561,-5.621443017553457e-07,0.007588567897486883,-0.0008298498693335775,0.013838588778492984,0.0006528868642055697
1.3,-0.00016801279776199732,-5.621455954748323e-07,0.007564284021096445,-0.0008298498693335775,0.010180746022243716,0.0006528771303770713
1.31,-0.0001736739370163256,-6.051617586059206e-07,0.007717738660683316,0.0027558503623653407,0.025261423419644526,0.0006578885374395504
1.32,-0.00014745083924152592,-4.0335373384351724e-07,0.007874437677394493,0.0009412030210099367,0.010813862500963731,0.0006629160858582484
1.32,-0.00014745083630284152,-4.0373343721718195e-07,0.00781310514830283,0.0009412030210099367,0.001575438467940787,0.00066290635202975
1.33,-0.00013846464441502807,-3.334719226164154e-07,0.007836395838628945,0.0003625794919556618,0.0037759960903471996,0.000667917759092229
1.34,-0.00013997202375229726,-3.4522042145507963e-07,0.007895406528595036,-0.006616874505395059,0.006976960554049118,0.0006729453075109271
1.34,-0.00013997202358621938,-3.4524170442998926e-07,0.007886937615096023,-0.006616874505395059,0.005701301207180389,0.0006729355736824286
1.35,-0.00020454798772055229,-8.547238156825401e-07,0.00795021907625546,-0.0044539604192984205,0.007531652053750339,0.0006779469807449077
1.36,-0.0002448244210699636,-1.1746294674579507e-06,0.008007202955783867,0.0013407917047807347,0.0047702346819981385,0.0006829745291636058
1.36,-0.0002448244207065757,-1.1746752999761968e-06,0.008009771895044614,0.0013407917047807347,0.005157190031098227,0.0006829647953351073
1.37,-0.0002287102308649891,-1.0456067109857505e-06,0.00805753540773796,0.0050211159254169415,0.004045162892877467,0.0006879762023975864
1.38,-0.00017695637082462787,-6.295938275748046e-07,0.008017135716412294,0.007120943811561019,-0.008133346475682469,0.0006930037508162843
1.38,-0.00017695636889989824,-6.298322902906663e-07,0.007997838663496301,0.007120943811561019,-0.011040031721927494,0.0006929940169877859
1.39,-0.00010164643748887637,-2.808849493283866e-08,0.007869399073107223,0.012699505148989692,-0.016307395061129132,0.000698005424050265
1.4,1.7332163070632958e-05,9.086242782210451e-07,0.007717961399859734,0.0018048396722625485,-0.014554640592256356,0.000703032972468963
1.4,1.7332130417163623e-05,9.127583980488716e-07,0.007819035381742456,0.0018048396722625485,0.0006699770318295203,0.0007030232386404646
1.41,3.129895103925839e-05,1.0221864023682117e-06,0.00783573972907015,-0.003744149159406451,0.0035912556037251886,0.0007080346457029437
1.42,-2.3454583687733275e-06,7.578329929404038e-07,0.008073245359498106,0.0014171944450523423,0.033956908723274955,0.0007130621941216417
1.42,-2.345462703603538e-06,7.583908062387736e-07,0.007916157398469955,0.0014171944450523423,0.010294992021745053,0.0007130524602931433
1.43,1.2279813111546746e-05,8.741419361948614e-07,0.008013267825450558,0.002034195525631309,0.008589893800449767,0.0007180638673556223
1.44,2.7929471714744566e-05,9.99496710639097e-07,0.008085480584403755,-0.004345068250828869,0.00652836580966964,0.0007230914157743204
1.44,2.7929472203426354e-05,9.994356640754491e-07,0.008075744618445145,-0.004345068250828869,0.005061852309756691,0.000723081681945822
1.45,-1.4931259626347756e-05,6.534165635307311e-07,0.008118034925577748,-0.0035448326502397036,0.0026300614586572293,0.000728093089008301
1.46,-5.1296164498915945e-05,3.584543629513966e-07,0.008124621242379742,-0.0047926976416571235,-0.0003394727370552367,0.0007331206374269991
1.46,-5.129615461799014e-05,3.5723588870767003e-07,0.008219613426503703,-0.0047926976416571235,0.013969053093481025,0.0007331109035985006
1.47,-9.422552260487119e-05,4.170107785964844e-09,0.008365869158837849,0.002000396134125241,0.01588605389721783,0.0007381223106609797
1.48,-7.408267689293778e-05,1.7278723429725359e-07,0.008430131490257259,0.002190191634259277,0.001636872148487175,0.0007431498590796778
1.48,-7.408267712345076e-05,1.7281840280229133e-07,0.008401293895491338,0.002190191634259277,-0.002706890166318229,0.0007431401252511793
1.49,-5.306984945849887e-05,3.493735246983953e-07,0.008375817687466685,0.0009823383395726006,-0.0022418328437091863,0.0007481515323136584
1.5,-4.439787308166949e-05,4.2204876910152297e-07,0.00836213656269523,-0.000582774174044597,-0.0009257613638360437,0.0007531790807323564
1.5,-4.439787315044611e-05,4.220569454923452e-07,0.008363904377400656,-0.000582774174044597,-0.000659478167913415,0.000753169346903858
1.51,-5.048078742052944e-05,3.7116480533342987e-07,0.00838608339080714,-0.0009300125050393916,0.007742303430327144,0.0007581807539663371
1.52,-6.457007005972239e-05,2.529656972824124e-07,0.008483311990399905,-0.00744233131954876,0.010725585109199558,0.0007632083023850351
1.52,-6.457007293878107e-05,2.533094151537294e-07,0.008345539392934455,-0.00744233131954876,-0.010026888241681079,0.0007631985685565367
1.53,-0.00013725378432074108,-3.5323053091839003e-07,0.008243502525997459,-0.0050804984564092335,-0.01054312948700408,0.0007682099756190158
1.54,-0.0001842095790896756,-7.409940878485125e-07,0.008171845122026226,0.0001509290344157933,-0.005455820517534687,0.0007732375240377138
1.54,-0.00018420957204555758,-7.418445709495531e-07,0.008212755040654563,0.0001509290344157933,0.0007063772760734378,0.0007732277902092154
1.55,-0.00017770541012843618,-6.882655317616685e-07,0.00820061055321619,0.006942575676334878,-0.0049023235086113216,0.0007782391972716944
1.56,-0.00011204206164523529,-1.4948072952401676e-07,0.00817044448162458,0.0018299703401945385,-0.0020618981258280927,0.0007832667456903925
1.56,-0.00011204206504102553,-1.4906609984612568e-07,0.008196773714561822,0.0018299703401945385,0.0019040335248128744,0.000783257011861894
1.57,-9.462367838546112e-05,-6.6978870948442215e-09,0.008185688935380271,0.0006324668334951617,-0.006892325499328715,0.0007882684189243731
1.58,-8.83490076039433e-05,4.4996285475589634e-08,0.008181846159848656,0.0005647764806462771,0.002910646503355487,0.0007932959673430712
1.58,-8.83490073823843e-05,4.4969237121567264e-08,0.008176520554754596,0.0005647764806462771,0.0021084588417669466,0.0007932862335145727
1.59,-8.7239512995275e-05,5.406145768278893e-08,0.008203050901846424,-0.005605695338849003,0.0036985888500212045,0.0007982976405770518
1.6,-0.00014265388491686582,-4.006691993292608e-07,0.008251575286616351,-0.004734537278818061,0.005436614703867474,0.0008033251889957498
1.6,-0.00014265387942504772,-4.013385365463896e-07,0.008302251321902312,-0.004734537278818061,0.013069867550566092,0.0008033154551672514
1.61,-0.00019034655802343772,-7.969760704433945e-07,0.008419467751874951,-0.005208987654574944,0.009133129901422211,0.0008083268622297305
1.62,-0.00023148487336131316,-1.142377963049302e-06,0.008456198011179698,0.009679483265307737,0.0009086597067204244,0.0008133544106484285
1.62,-0.00023148486287007951,-1.1436305312695844e-06,0.0085205930278845,0.009679483265307737,0.010608381514107099,0.0008133446768199301
1.63,-0.0001417291544935713,-3.783191448251628e-07,0.008641847275800441,0.00011307625969595066,0.015038060065233316,0.0008183560838824091
1.64,-0.0001375692454045844,-3.4273128378474966e-07,0.008751105493281381,0.004231904394165109,0.00884385906598836,0.0008233836323011071
1.64,-0.00013756924457034568,-3.428287385081475e-07,0.008739163415612367,0.004231904394165109,0.007045042369928581,0.0008233738984726087
1.65,-9.740997843349784e-05,8.738719854288912e-09,0.008838629656710105,0.0012974247475172635,0.01551749308248961,0.0008283853055350877
