t,X,Y,yaw
3.1,0.060854110509169224,0.0001223527290157734,0.002278901883588762
3.11,0.061986674515229684,0.00012493373573053238,0.002245423998895456
3.12,0.06320446040162517,0.00012766818598099712,0.002166852788774421
3.13,0.06435000647564561,0.00013015041957106237,0.002086626186704698
3.14,0.06553160201075536,0.00013261597133506153,0.0020171200265940723
3.15,0.06668379130399521,0.00013494007858497217,0.0021559582920617844
3.16,0.06783682246794401,0.00013742596953549753,0.002081642603820452
3.17,0.06899763263208977,0.00013984236491840262,0.002312530006332858
3.18,0.0702789132164229,0.0001428053699980545,0.002573240792819733
3.19,0.07142339715674405,0.0001457504092602782,0.0027633923234354433
3.2,0.07266114856992649,0.0001491708107202386,0.0026873897726056957
3.21,0.07390466889102375,0.00015251264255816083,0.002990748244175599
3.22,0.07519728103601928,0.00015637853158745798,0.002984256915260325
3.23,0.0764512327793899,0.00016012065685788086,0.0028294491627954632
3.24,0.07767354880811332,0.00016357914715133586,0.001948958160561481
3.25,0.07896273702146138,0.00016609172422153037,0.001904123052431125
3.26,0.08010362101177518,0.00016826411035309943,0.0017685247919368488
3.27,0.08141769500086962,0.00017058808520413598,0.002090410365408496
3.28,0.08266619675982852,0.0001731979700238672,0.002371369502403585
3.29,0.08397131653433437,0.00017629289705544705,0.0026892890158766573
3.3000000000000003,0.08529044774835438,0.00017984043069206197,0.0021838403579893606
3.31,0.08657169994774043,0.00018263848540196758,0.0017251591840231034
3.3200000000000003,0.08787793229752869,0.00018489194637223748,0.00192615510118328
3.33,0.08917502733785272,0.00018739035569063862,0.0021314296819248744
3.34,0.09050061199612397,0.0001902157504557659,0.002021615746555267
3.35,0.09181504965840839,0.00019287304195176135,0.002294142925591234
3.36,0.09324090297522863,0.00019614415899020702,0.00301431663443699
3.37,0.09464691604753868,0.00020038234041850164,0.0031237521454484454
3.38,0.09609617514585347,0.00020490948136120282,0.003101590632441532
3.39,0.09753180610561347,0.00020936223517594268,0.003150845657086107
3.4,0.09890629497388975,0.00021369305178914165,0.003940590036409383
3.41,0.1003198746836961,0.0002192634187419881,0.00383703509966544
3.42,0.10167757546018429,0.00022447298984279912,0.0033916002214286135
3.43,0.10311464533357076,0.0002293469750320054,0.0032654178554326367
3.44,0.10463091340364382,0.00023429824146003187,0.0030969292208090004
3.45,0.10598562118703905,0.0002384936889928992,0.0033259383152272086
3.46,0.10742150248371447,0.00024326935922291729,0.003412800728806639
3.47,0.10888832522367824,0.00024827535237419336,0.0031441576817906915
3.48,0.11036581830776894,0.00025292083891234455,0.0037899903090807185
3.49,0.11192572029786733,0.0002588328806448684,0.003637834173570371
3.5,0.11345775117704449,0.000264406179517503,0.0036971440935016217
3.51,0.11501386494331538,0.0002701593825505819,0.0036500238327143025
3.52,0.11651474800146389,0.00027563766581142326,0.0037618005283463762
3.53,0.11807650850501057,0.0002815127250117765,0.003632742350726575
