t,rpm_L_measured,rpm_R_measured,vx_computed,vyaw_computed,vx_variance,vyaw_variance
5.37,58.673154705962595,55.34946936088606,0.2985105317595354,-0.05800925257186933,1.9739208802178718e-05,0.0008772981689857211
5.38,54.42266714720175,58.033107660553284,0.2944085299914928,0.06301407440537847,1.9739208802178718e-05,0.0008772981689857211
5.39,56.35190058295731,58.05326550676289,0.29951202443348757,0.029694419698349888,1.9739208802178718e-05,0.0008772981689857211
5.4,55.272017731601395,57.87206889609644,0.2962105261222522,0.04537945354075128,1.9739208802178718e-05,0.0008772981689857211
5.41,56.30430415344557,57.785053556623964,0.2986852400289437,0.025843952482404085,1.9739208802178718e-05,0.0008772981689857211
5.42,57.59297859441305,56.911131059077256,0.2997710580777044,-0.011900484488217938,1.9739208802178718e-05,0.0008772981689857211
5.43,57.08070756254261,58.240758758344946,0.3019108928290859,0.020246712858448257,1.9739208802178718e-05,0.0008772981689857211
5.44,56.9917264303447,57.24110976097687,0.2990608658144851,0.004352560219120968,1.9739208802178718e-05,0.0008772981689857211
5.45,57.10475766742624,56.7112432401041,0.2979695935933888,-0.006868122410871129,1.9739208802178718e-05,0.0008772981689857211
5.46,57.53984540182625,56.921509938375834,0.2996591275472581,-0.010791989719054856,1.9739208802178718e-05,0.0008772981689857211
5.47,56.08553626275059,59.72054715161332,0.30317961741297705,0.06344290835650043,1.9739208802178718e-05,0.0008772981689857211
5.48,58.14399908216118,55.2138082146278,0.2967700455255331,-0.051141478350326675,1.9739208802178718e-05,0.0008772981689857211
5.49,58.090978677544896,57.895525238237276,0.30365195718115423,-0.0034113060502649617,1.9739208802178718e-05,0.0008772981689857211
5.5,57.75782503826964,55.28084699993386,0.29593455137230507,-0.04323142226854963,1.9739208802178718e-05,0.0008772981689857211
5.51,57.96361964438383,57.16589950709475,0.30140837631467543,-0.013922842905155774,1.9739208802178718e-05,0.0008772981689857211
5.5200000000000005,57.65148111405271,56.77542653089729,0.2995689436919772,-0.015290036903248446,1.9739208802178718e-05,0.0008772981689857211
5.53,59.7378674763596,54.793745557066465,0.29984306175800024,-0.08629120611168661,1.9739208802178718e-05,0.0008772981689857211
5.54,57.19126650781931,57.76262462160283,0.3009485832281279,0.009972080293506973,1.9739208802178718e-05,0.0008772981689857211
5.55,56.92727965108082,56.83973383845168,0.29784134483297187,-0.0015279626767126613,1.9739208802178718e-05,0.0008772981689857211
5.5600000000000005,56.39154641665346,54.77673190200882,0.29103787206511245,-0.02818383008954336,1.9739208802178718e-05,0.0008772981689857211
5.57,56.05706430838891,58.303261222011415,0.29939463212370243,0.039203531790847346,1.9739208802178718e-05,0.0008772981689857211
5.58,55.80241336796102,59.01778692666904,0.30059858144109863,0.05611885528102194,1.9739208802178718e-05,0.0008772981689857211
5.59,56.22922273720521,59.0839287238382,0.30188912457691763,0.049824018643138866,1.9739208802178718e-05,0.0008772981689857211
5.6000000000000005,57.21096305509983,57.72652724186408,0.3009056459491583,0.008998292564403137,1.9739208802178718e-05,0.0008772981689857211
5.61,57.69693366727957,57.351049279374855,0.30119491502961115,-0.0060368214001825056,1.9739208802178718e-05,0.0008772981689857211
5.62,57.35714998334491,58.88956745815727,0.30433319459845976,0.026745730450573046,1.9739208802178718e-05,0.0008772981689857211
5.63,56.37713718016666,59.31463981549043,0.3028803639085874,0.05126909277241003,1.9739208802178718e-05,0.0008772981689857211
5.64,58.376000989906274,58.656061956533065,0.3063892243224934,0.004887985973955344,1.9739208802178718e-05,0.0008772981689857211
5.65,58.183074719843454,56.165934390406555,0.2993650058050281,-0.035205740223437,1.9739208802178718e-05,0.0008772981689857211
5.66,57.10420154417589,57.53739333694022,0.300130993561943,0.007560623076354375,1.9739208802178718e-05,0.0008772981689857211
5.67,56.51228013948466,57.82319888623203,0.2993295841265512,0.0228798483568593,1.9739208802178718e-05,0.0008772981689857211
5.68,57.95389301807808,55.12423915038164,0.29603785775174063,-0.049386776683094845,1.9739208802178718e-05,0.0008772981689857211
5.69,57.52134781806564,57.85901230462724,0.3020650764416639,0.005893357057556263,1.9739208802178718e-05,0.0008772981689857211
5.7,55.55802680178426,60.02336970425758,0.30259138846252503,0.07793493587871958,1.9739208802178718e-05,0.0008772981689857211
5.71,57.21420320590103,58.06370291204327,0.3017968524844564,0.01482656686690657,1.9739208802178718e-05,0.0008772981689857211
5.72,57.610222487571576,59.06387521081243,0.30545207349455084,0.025371026201134555,1.9739208802178718e-05,0.0008772981689857211
5.73,56.216145769297015,57.51527718923676,0.2977481690407027,0.022674120694057647,1.9739208802178718e-05,0.0008772981689857211
5.74,57.52359158448725,57.20791752430173,0.3003663884595349,-0.005509551713376119,1.9739208802178718e-05,0.0008772981689857211
5.75,55.54999253077297,57.753305181179485,0.2966273397661392,0.03845506020043651,1.9739208802178718e-05,0.0008772981689857211
5.76,58.89920283309692,56.316787535501,0.3016347574317163,-0.04507164959691816,1.9739208802178718e-05,0.0008772981689857211
5.7700000000000005,58.79331949515363,56.13924928840105,0.30089276145718247,-0.046322263686919274,1.9739208802178718e-05,0.0008772981689857211
5.78,56.99275871191876,58.815344981685556,0.3031849064916603,0.03181013130907222,1.9739208802178718e-05,0.0008772981689857211
5.79,57.7319247184892,58.942590324522136,0.3054531661002302,0.021130100965927233,1.9739208802178718e-05,0.0008772981689857211
5.8,54.403873154122465,56.106451934377496,0.2893153545365427,0.029715605490039376,1.9739208802178718e-05,0.0008772981689857211
5.8100000000000005,55.908162320763914,58.45737807854695,0.29940828461858476,0.044492208317036264,1.9739208802178718e-05,0.0008772981689857211
5.82,56.94324480889976,57.19142754235509,0.29880387348215026,0.004331605845394974,1.9739208802178718e-05,0.0008772981689857211
5.83,56.00921988737009,57.70354980247083,0.29769933489746025,0.029571635633544036,1.9739208802178718e-05,0.0008772981689857211
5.84,58.15305529223911,57.848041880404395,0.30369016223827716,-0.005323488299257181,1.9739208802178718e-05,0.0008772981689857211
5.8500000000000005,59.692535349979906,58.489000074831495,0.30939853623379115,-0.021005653215235474,1.9739208802178718e-05,0.0008772981689857211
5.86,55.88384184976715,57.39504135531814,0.2965634227366268,0.026375407026375162,1.9739208802178718e-05,0.0008772981689857211
5.87,56.29082342818008,58.98797390744464,0.3017991856868877,0.04707415628490956,1.9739208802178718e-05,0.0008772981689857211
5.88,57.578317555054234,57.66707492079423,0.3017117319684983,0.001549108267559866,1.9739208802178718e-05,0.0008772981689857211
5.89,59.229118891281864,58.04480064004576,0.3070224033810829,-0.02067025287553148,1.9739208802178718e-05,0.0008772981689857211
5.9,55.82893033803443,56.29586440323762,0.2935420262037031,0.008149536827517512,1.9739208802178718e-05,0.0008772981689857211
5.91,57.594622859850645,59.88617032592812,0.3075639973419537,0.03999504824878486,1.9739208802178718e-05,0.0008772981689857211
5.92,59.48133813405805,57.859569420928274,0.30719777761692,-0.02830520374994594,1.9739208802178718e-05,0.0008772981689857211
