t,vyaw_measured,vyaw_variance
8.700000000000001,0.01278298631597874,6.4e-05
8.72,0.002616685953419978,6.4e-05
8.74,0.012544560746195888,6.4e-05
8.76,-0.005181311047561428,6.4e-05
8.78,-0.001699780829448684,6.4e-05
8.8,0.008665140256600881,6.4e-05
8.82,-0.011265997301983419,6.4e-05
8.84,0.005702713720528936,6.4e-05
8.86,-0.0021621063369473663,6.4e-05
8.88,0.006810456441226109,6.4e-05
8.9,-0.0026218908643781073,6.4e-05
8.92,0.00939398509964151,6.4e-05
8.94,0.006154619389339117,6.4e-05
8.96,0.017202927335050647,6.4e-05
8.98,0.006053876272812977,6.4e-05
9.0,-0.00014914243969173062,6.4e-05
9.02,0.004024913153381737,6.4e-05
9.040000000000001,-0.004753891176133852,6.4e-05
9.06,0.009249098037643521,6.4e-05
9.08,0.010718801970522178,6.4e-05
9.1,0.025753568293542542,6.4e-05
9.120000000000001,0.001025312075164762,6.4e-05
9.14,0.0038576434105985383,6.4e-05
9.16,0.0013939318044942752,6.4e-05
9.18,0.007696909609049793,6.4e-05
9.200000000000001,0.00905352427583691,6.4e-05
9.22,0.005573001244571914,6.4e-05
9.24,0.014690607334984257,6.4e-05
9.26,0.00106416396996178,6.4e-05
9.28,0.013889392383125697,6.4e-05
9.3,0.01030798282912866,6.4e-05
9.32,0.005903760640808428,6.4e-05
9.34,0.0034805068739428365,6.4e-05
9.36,0.025413342069850957,6.4e-05
9.38,-0.0005360692059366351,6.4e-05
9.4,0.008383465415747318,6.4e-05
9.42,-1.752561937060082e-06,6.4e-05
9.44,0.02028496598897045,6.4e-05
9.46,0.01309461063039363,6.4e-05
9.48,0.0005732009692708479,6.4e-05
9.5,0.010100759947449828,6.4e-05
9.52,0.008061565770212442,6.4e-05
9.540000000000001,0.00186700190420209,6.4e-05
9.56,0.012065313737825387,6.4e-05
9.58,0.00911444312883528,6.4e-05
9.6,0.007725589711087618,6.4e-05
9.620000000000001,0.00566464231006137,6.4e-05
9.64,0.009448435940797209,6.4e-05
9.66,0.007835101291939676,6.4e-05
9.68,0.006472746664200139,6.4e-05
9.700000000000001,0.0008718726720994925,6.4e-05
9.72,0.01955012992609994,6.4e-05
9.74,-0.0024033595467883757,6.4e-05
9.76,0.00942108975103796,6.4e-05
9.78,0.003438074061588537,6.4e-05
9.8,0.020076378155594397,6.4e-05
9.82,-0.0012278602977907251,6.4e-05
9.84,0.00011789390591734374,6.4e-05
9.86,-0.0017585445060946028,6.4e-05
9.88,0.008587720407604882,6.4e-05
9.9,-0.004984405276549135,6.4e-05
9.92,0.00217177204193787,6.4e-05
9.94,-0.01121892658283428,6.4e-05
9.96,0.007923370833024725,6.4e-05
9.98,0.001998281129949899,6.4e-05
10.0,0.29409554604854515,6.4e-05
10.02,0.31468487522379246,6.4e-05
10.040000000000001,0.29553866481292046,6.4e-05
10.06,0.3123755495202257,6.4e-05
10.08,0.3003916734080976,6.4e-05
10.1,0.3188125710231634,6.4e-05
10.120000000000001,0.3119964043114092,6.4e-05
10.14,0.29793561703300775,6.4e-05
10.16,0.29866333958231756,6.4e-05
10.18,0.3108442016417945,6.4e-05
10.200000000000001,0.30390097495431867,6.4e-05
10.22,0.30464525994382907,6.4e-05
10.24,0.3161779108941768,6.4e-05
10.26,0.30001048901304034,6.4e-05
10.28,0.30673035017740363,6.4e-05
10.3,0.3136370223492184,6.4e-05
10.32,0.3124729399070848,6.4e-05
10.34,0.3047230986598346,6.4e-05
10.36,0.3036887529531787,6.4e-05
10.38,0.29208947629983256,6.4e-05
10.4,0.2975500400586784,6.4e-05
10.42,0.3085468738125979,6.4e-05
10.44,0.3048969424884621,6.4e-05
10.46,0.3065994166285298,6.4e-05
10.48,0.3143140288770725,6.4e-05
10.5,0.2965014151275018,6.4e-05
10.52,0.3041105575821388,6.4e-05
10.540000000000001,0.30750968770728976,6.4e-05
10.56,0.3003667204994039,6.4e-05
10.58,0.3174518169114193,6.4e-05
10.6,0.31326869441290517,6.4e-05
10.620000000000001,0.30832106661671005,6.4e-05
10.64,0.3203538542346287,6.4e-05
10.66,0.29400883776311887,6.4e-05
10.68,0.30593818975115455,6.4e-05
10.700000000000001,0.3089306957514725,6.4e-05
10.72,0.29868355962564863,6.4e-05
10.74,0.30840571633454184,6.4e-05
10.76,0.29714734004969695,6.4e-05
10.78,0.31152445854619404,6.4e-05
10.8,0.31446267814503126,6.4e-05
10.82,0.30817866720902665,6.4e-05
10.84,0.29117761747948046,6.4e-05
10.86,0.2982656518306717,6.4e-05
10.88,0.3105176800257053,6.4e-05
10.9,0.30616958914809894,6.4e-05
10.92,0.2844479790584601,6.4e-05
10.94,0.31594264307094594,6.4e-05
10.96,0.30709325205003063,6.4e-05
10.98,0.29944740268799963,6.4e-05
11.0,0.3139596447805333,6.4e-05
11.02,0.3005796798967448,6.4e-05
11.040000000000001,0.30049238305916626,6.4e-05
11.06,0.30886682120811226,6.4e-05
11.08,0.32024830767393836,6.4e-05
11.1,0.3189886974237831,6.4e-05
11.120000000000001,0.30887769199123283,6.4e-05
11.14,0.30969908527080253,6.4e-05
11.16,0.3123319914566786,6.4e-05
11.18,0.2959441305970452,6.4e-05
11.200000000000001,0.31115318669721587,6.4e-05
11.22,0.3001274122548518,6.4e-05
11.24,0.30854782453437263,6.4e-05
11.26,0.3041802589791413,6.4e-05
11.28,0.3100096666169137,6.4e-05
11.3,0.30694482772005166,6.4e-05
11.32,0.2814157578334296,6.4e-05
11.34,0.30743113369364145,6.4e-05
11.36,0.3111372236183941,6.4e-05
11.38,0.3095674267867076,6.4e-05
11.4,0.30517931243033136,6.4e-05
11.42,0.31913729353544323,6.4e-05
11.44,0.3084909850329733,6.4e-05
11.46,0.30950138640154484,6.4e-05
11.48,0.31435593515240456,6.4e-05
11.5,0.3089007439975728,6.4e-05
11.52,0.2988158579726864,6.4e-05
11.540000000000001,0.28649330068976303,6.4e-05
11.56,0.30218303278385533,6.4e-05
