t,X,Y,yaw,P_yaw
0.66,0.0001721684290775954,6.339278384987412e-07,0.004502250652405835,0.00040000000000000024
0.66,0.0001721684032491412,6.396387279644202e-07,0.0046772374508440104,0.00020000000000000006
0.67,0.00015662746274437104,5.669495289504278e-07,0.0047672995135558715,0.00030000000000000014
0.68,0.00020025331601931554,7.749286136391653e-07,0.0046987537436551,0.00040000000000000024
0.68,0.00020025330078210501,7.78179186510352e-07,0.00477752309021361,0.00020000000000000006
0.6900000000000001,0.0001880857804052913,7.200481346836799e-07,0.004776538730178017,0.00030000000000000014
0.7000000000000001,0.0001372604423129204,4.772770925084171e-07,0.004972057515095022,0.00040000000000000024
0.7000000000000001,0.00013726044403504387,4.769223642739787e-07,0.004987107966843935,0.00020000000000000006
0.71,5.7458656502200304e-05,7.893893444716462e-08,0.004929799672112893,0.00029999999999999905
0.72,-3.355850221507392e-05,-3.697610596671962e-07,0.004708150513583049,0.00039999999999999915
0.72,-3.35582752523875e-05,-4.1569071520817485e-07,0.005091062294366532,0.0001999999999999998
0.73,-2.615681522909805e-05,-3.7800909560421336e-07,0.0049321557951650845,0.00029999999999999987
0.74,-1.990755885368218e-05,-3.471865396248441e-07,0.0049141588582581955,0.00039999999999999996
0.74,-1.990747273714879e-05,-3.6464856764240267e-07,0.005252658632363655,0.00019999999999999998
0.75,-3.861994418303061e-05,-4.6293969628173083e-07,0.004838677272987911,0.0003000000000000001
0.76,-5.312537195188976e-05,-5.331273277256722e-07,0.0049209404591366674,0.0004000000000000002
0.76,-5.312529417467785e-05,-5.487611166257158e-07,0.005260594477111495,0.00020000000000000004
0.77,-4.6456028599968683e-05,-5.136764913341449e-07,0.005238647912325734,0.00030000000000000014
0.78,-9.453485613913597e-05,-7.655468449157909e-07,0.004656071305741663,0.00040000000000000024
0.78,-9.453470801250739e-05,-7.944299861715398e-07,0.005174258909265019,0.00020000000000000006
0.79,-0.00013300209030339146,-9.934719580233563e-07,0.005047385036548944,0.00030000000000000014
0.8,-0.00010585784619890413,-8.564633430184294e-07,0.0050370154049475865,0.00040000000000000024
0.8,-0.00010585779100797848,-8.67029976011481e-07,0.005432105127470127,0.00020000000000000006
0.81,-0.00011449287173442086,-9.139371036774655e-07,0.005651803963100325,0.00030000000000000014
0.8200000000000001,-0.00016214155009827892,-1.1832409603445646e-06,0.00548621667344926,0.00040000000000000024
0.8200000000000001,-0.000162141485610962,-1.1949090730433348e-06,0.00570461229126572,0.00020000000000000006
0.8300000000000001,-0.00016915622878998176,-1.2349258972872385e-06,0.005817748570919558,0.00030000000000000014
0.84,-0.00017460467675689884,-1.2666239552808937e-06,0.006282337109161122,0.0003999999999999991
0.84,-0.00017460470014333748,-1.2624325723916898e-06,0.006160164133067529,0.00019999999999999977
0.85,-0.00013489429493892293,-1.0178068642127352e-06,0.006220922635143043,0.00029999999999999987
0.86,-0.00015263415238855638,-1.1281665686047584e-06,0.006299277422815324,0.00039999999999999996
0.86,-0.0001526341628423479,-1.1261931188169499e-06,0.0061131585461396834,0.00019999999999999998
0.87,-0.00016694329063092665,-1.213668175316467e-06,0.0060125290541662435,0.0003000000000000001
0.88,-0.00017161154461684265,-1.241736526268189e-06,0.005780032108804965,0.0004000000000000002
0.88,-0.00017161153937016852,-1.2426380096587508e-06,0.005836525451127628,0.00020000000000000004
0.89,-0.00014288684607679887,-1.0749837024555424e-06,0.005840984126526192,0.00030000000000000014
0.9,-0.00011585424543157603,-9.170849155013216e-07,0.005742488675763188,0.00040000000000000024
0.9,-0.00011585426464641097,-9.137974820971472e-07,0.00586580691564102,0.00020000000000000006
0.91,-9.917525432273358e-05,-8.159605058770904e-07,0.006018255734063066,0.00030000000000000014
0.92,-0.00010833045917113365,-8.710595351720678e-07,0.006134530712056209,0.00040000000000000024
0.92,-0.00010833045695456836,-8.714432697044818e-07,0.006108606496185735,0.00020000000000000006
0.93,-8.511308348335223e-05,-7.296157071874872e-07,0.006296784159997504,0.00030000000000000014
0.94,-0.00013514955405914683,-1.0446887267039309e-06,0.0066699900712305655,0.0003999999999999991
0.94,-0.00013514958826948983,-1.0395232646184595e-06,0.006391041033784113,0.00019999999999999977
0.95,-0.00015595981932437771,-1.1725241160422767e-06,0.006858468381666556,0.00029999999999999987
0.96,-0.00017015561511389625,-1.2698870592272135e-06,0.007317878635202637,0.00039999999999999996
0.96,-0.000170155726994203,-1.2530023200937363e-06,0.006760824228884034,0.00019999999999999998
0.97,-0.00022675881592690804,-1.6356916859475316e-06,0.0068011874526358275,0.0003000000000000001
0.98,-0.0002710030354286647,-1.936609556256311e-06,0.006338762130765818,0.0004000000000000002
0.98,-0.00027100303678179025,-1.93640914506232e-06,0.00633614716509876,0.00020000000000000004
0.99,-0.0002509596444369106,-1.8094095619321672e-06,0.006849058642806909,0.00030000000000000014
1.0,-0.0002547767100941159,-1.8355532772602027e-06,0.00698201530177479,0.00040000000000000024
1.0,-0.00025477675157631904,-1.8295364190830699e-06,0.0067889268271252075,0.00020000000000000006
1.01,-0.0002678221531254812,-1.9181020562844347e-06,0.0061577360024829,0.00030000000000000014
1.02,-0.00030143917940180697,-2.125109445704765e-06,0.006082849748201157,0.00040000000000000024
1.02,-0.00030143908468828343,-2.1397091593463114e-06,0.006391407111520307,0.00020000000000000006
1.03,-0.00025402117223556153,-1.8366378496417245e-06,0.006398603185826945,0.00030000000000000014
1.04,-0.00029213716317592995,-2.0805302792040634e-06,0.006535564236941225,0.00040000000000000024
1.04,-0.0002921371309862711,-2.085499216754731e-06,0.006709692612314201,0.00020000000000000006
1.05,-0.000314677518749788,-2.236740559644266e-06,0.006645473460944111,0.00030000000000000014
1.06,-0.00030051365298560165,-2.142613579978057e-06,0.0071378456255682295,0.00040000000000000024
1.06,-0.000300513663738959,-2.14096781801813e-06,0.0070275052825129886,0.00020000000000000006
1.07,-0.0003440651225628627,-2.4470309633750546e-06,0.006879168896865973,0.00030000000000000014
1.08,-0.00034274082243611266,-2.4379207354248814e-06,0.006536010323762741,0.00040000000000000024
1.08,-0.00034274076467046786,-2.4462895665350036e-06,0.0068323552894981225,0.00020000000000000006
1.09,-0.0003903641226421521,-2.7716743313962096e-06,0.007238397112763228,0.00030000000000000014
